time,motorSignalL,motorSignalR,diffEncoderPulseL,diffEncoderPulseR,desiredRotRateL,desiredRotRateL
0.0080075,0,0,0,0,-349,-349
0.024017,0,0,0,0,-349,-349
0.039027,0,0,0,0,-349,-349
0.0590413,0,0,0,0,-349,-349
0.0771545,0,0,0,0,-349,-349
0.0941641,0,0,0,0,-349,-349
0.1092134,0,0,0,0,-349,-349
0.1282267,0,0,0,0,-349,-349
0.159269,0,0,0,0,-349,-349
0.175259,0,0,0,0,-349,-349
0.19034,0,0,0,0,-349,-349
0.2053491,0,0,0,0,-349,-349
0.2213613,0,0,0,0,-349,-349
0.2403755,0,0,0,0,-349,-349
0.2573861,0,0,0,0,-349,-349
0.2733988,0,0,0,0,-349,-349
0.2904093,0,0,0,0,-349,-349
0.3084257,0,0,0,0,-349,-349
0.3354415,0,0,0,0,-349,-349
0.3724676,0,0,0,0,-349,-349
0.3885254,0,0,0,0,-349,-349
0.4045337,0,0,0,0,-349,-349
0.4195522,0,0,0,0,-349,-349
0.4365569,0,0,0,0,-349,-349
0.4535746,0,0,0,0,-349,-349
0.4705811,0,0,0,0,-349,-349
0.4866375,0,0,0,0,-349,-349
0.5036547,0,0,0,0,-349,-349
0.520659,0,0,0,0,-349,-349
0.5476798,0,0,0,0,-349,-349
0.5847068,0,0,0,0,-349,-349
0.6027281,0,0,0,0,-349,-349
0.6187386,0,0,0,0,-349,-349
0.6367581,0,0,0,0,-349,-349
0.6567553,0,0,0,0,-349,-349
0.674769,0,0,0,0,-349,-349
0.6917929,0,0,0,0,-349,-349
0.7077918,0,0,0,0,-349,-349
0.7238095,0,0,0,0,-349,-349
0.7538241,0,0,0,0,-349,-349
0.7798645,0,0,0,0,-349,-349
0.7978558,0,0,0,0,-349,-349
0.8138699,0,0,0,0,-349,-349
0.8308809,0,0,0,0,-349,-349
0.8478914,0,0,0,0,-349,-349
0.8699294,0,0,0,0,-349,-349
0.8849233,0,0,0,0,-349,-349
0.9019334,0,0,0,0,-349,-349
0.9175592,0,0,0,0,-349,-349
0.9336197,0,0,0,0,-349,-349
0.9876697,0,0,0,0,-349,-349
1.0086701,0,0,0,0,-349,-349
1.0266825,0,0,0,0,-349,-349
1.0466963,0,0,0,0,-349,-349
1.0677212,0,0,0,0,-349,-349
1.0867256,0,0,0,0,-349,-349
1.1057385,0,0,0,0,-349,-349
1.1307574,0,0,0,0,-349,-349
1.1647802,0,0,0,0,-349,-349
1.1877986,0,0,0,0,-349,-349
1.2048301,0,0,0,0,-349,-349
1.2228215,0,0,0,0,-349,-349
1.2438384,0,0,0,0,-349,-349
1.2598502,0,0,0,0,-349,-349
1.2758621,0,0,0,0,-349,-349
1.292873,0,0,0,0,-349,-349
1.3088853,0,0,0,0,-349,-349
1.324894,0,0,0,0,-349,-349
1.3489111,0,0,0,0,-349,-349
1.3779489,0,0,0,0,-349,-349
1.3969559,0,0,0,0,-349,-349
1.4139571,0,0,0,0,-349,-349
1.4310591,0,0,0,0,-349,-349
1.451072,0,0,0,0,-349,-349
1.4691678,0,0,0,0,-349,-349
1.4901834,0,0,0,0,-349,-349
1.5071953,0,0,0,0,-349,-349
1.527305,0,0,0,0,-349,-349
1.5833462,0,0,0,0,-349,-349
1.6033586,0,0,0,0,-349,-349
