time,motorSignalL,motorSignalR,diffEncoderPulseL,diffEncoderPulseR,desiredRotRateL,desiredRotRateL
0.0080057,0,0,0,0,-349,-349
0.0240202,0,0,0,0,-349,-349
0.0400316,0,0,0,0,-349,-349
0.0600498,0,0,0,0,-349,-349
0.076071,0,0,0,0,-349,-349
0.0920766,0,0,0,0,-349,-349
0.1100778,0,0,0,0,-349,-349
0.1263373,0,0,0,0,-349,-349
0.1423611,0,0,0,0,-349,-349
0.1583622,0,0,0,0,-349,-349
0.1743692,0,0,0,0,-349,-349
0.1913824,0,0,0,0,-349,-349
0.2154039,0,0,0,0,-349,-349
0.2374329,0,0,0,0,-349,-349
0.2544296,0,0,0,0,-349,-349
0.2724571,0,0,0,0,-349,-349
0.2894538,0,0,0,0,-349,-349
0.3064652,0,0,0,0,-349,-349
0.3214743,0,0,0,0,-349,-349
0.3364848,0,0,0,0,-349,-349
0.3595004,0,0,0,0,-349,-349
0.380516,0,0,0,0,-349,-349
0.4015334,0,0,0,0,-349,-349
0.4195444,0,0,0,0,-349,-349
0.4357477,0,0,0,0,-349,-349
0.4529207,0,0,0,0,-349,-349
0.468924,0,0,0,0,-349,-349
0.4839353,0,0,0,0,-349,-349
0.4999463,0,0,0,0,-349,-349
0.5159576,0,0,0,0,-349,-349
0.5319712,0,0,0,0,-349,-349
0.5469794,0,0,0,0,-349,-349
0.5619926,0,0,0,0,-349,-349
0.5780035,0,0,0,0,-349,-349
0.5930135,0,0,0,0,-349,-349
0.6120277,0,0,0,0,-349,-349
0.6300396,0,0,0,0,-349,-349
0.6470514,0,0,0,0,-349,-349
0.6620775,0,0,0,0,-349,-349
0.6790755,0,0,0,0,-349,-349
0.7002187,0,0,0,0,-349,-349
0.7162301,0,0,0,0,-349,-349
0.7322442,0,0,0,0,-349,-349
0.7562617,0,0,0,0,-349,-349
0.7782782,0,0,0,0,-349,-349
0.8013166,0,0,0,0,-349,-349
0.8244309,0,0,0,0,-349,-349
0.8414468,0,0,0,0,-349,-349
0.8594578,0,0,0,0,-349,-349
0.8744692,0,0,0,0,-349,-349
0.8904783,0,0,0,0,-349,-349
0.909492,0,0,0,0,-349,-349
0.9275053,0,0,0,0,-349,-349
0.9455257,0,0,0,0,-349,-349
0.9625304,0,0,0,0,-349,-349
0.9855452,0,0,0,0,-349,-349
1.0015588,0,0,0,0,-349,-349
1.0255763,0,0,0,0,-349,-349
1.0486045,0,0,0,0,-349,-349
1.0656212,0,0,0,0,-349,-349
1.0836242,0,0,0,0,-349,-349
1.1066336,0,0,0,0,-349,-349
1.1456602,0,0,0,0,-349,-349
1.2167373,0,0,0,0,-349,-349
1.2667737,0,0,0,0,-349,-349
1.2877648,0,0,0,0,-349,-349
1.3197973,0,0,0,0,-349,-349
1.3388856,0,0,0,0,-349,-349
1.35889,0,0,0,0,-349,-349
1.3849102,0,0,0,0,-349,-349
1.4049218,0,0,0,0,-349,-349
1.4229346,0,0,0,0,-349,-349
1.4409496,0,0,0,0,-349,-349
1.4599656,0,0,0,0,-349,-349
1.4829772,0,0,0,0,-349,-349
