time,motorSignalL,motorSignalR,diffEncoderPulseL,diffEncoderPulseR,desiredRotRateL,desiredRotRateL
0.0170119,0,0,0,0,-349,-349
0.0350291,0,0,0,0,-349,-349
0.0500762,0,0,0,0,-349,-349
0.0731307,0,0,0,0,-349,-349
0.0891412,0,0,0,0,-349,-349
0.1041324,0,0,0,0,-349,-349
0.1401607,0,0,0,0,-349,-349
0.1561708,0,0,0,0,-349,-349
0.1831893,0,0,0,0,-349,-349
0.201203,0,0,0,0,-349,-349
0.2172117,0,0,0,0,-349,-349
0.2382273,0,0,0,0,-349,-349
0.2542414,0,0,0,0,-349,-349
0.2722604,0,0,0,0,-349,-349
0.2902853,0,0,0,0,-349,-349
0.3052841,0,0,0,0,-349,-349
0.3282936,0,0,0,0,-349,-349
0.3463037,0,0,0,0,-349,-349
0.390347,0,0,0,0,-349,-349
0.4063557,0,0,0,0,-349,-349
0.4263606,0,0,0,0,-349,-349
0.4423742,0,0,0,0,-349,-349
0.4593901,0,0,0,0,-349,-349
0.4763979,0,0,0,0,-349,-349
0.4924075,0,0,0,0,-349,-349
0.5104279,0,0,0,0,-349,-349
0.5274336,0,0,0,0,-349,-349
0.5454477,0,0,0,0,-349,-349
0.5614582,0,0,0,0,-349,-349
0.5764695,0,0,0,0,-349,-349
0.6044872,0,0,0,0,-349,-349
0.620499,0,0,0,0,-349,-349
0.6365122,0,0,0,0,-349,-349
0.6515713,0,0,0,0,-349,-349
0.6696002,0,0,0,0,-349,-349
0.6865937,0,0,0,0,-349,-349
0.702623,0,0,0,0,-349,-349
0.7196348,0,0,0,0,-349,-349
0.7376298,0,0,0,0,-349,-349
0.7536412,0,0,0,0,-349,-349
0.7806601,0,0,0,0,-349,-349
0.7976738,0,0,0,0,-349,-349
0.8146915,0,0,0,0,-349,-349
0.8367406,0,0,0,0,-349,-349
0.8537119,0,0,0,0,-349,-349
0.8827349,0,0,0,0,-349,-349
0.9007451,0,0,0,0,-349,-349
0.9217611,0,0,0,0,-349,-349
0.940774,0,0,0,0,-349,-349
0.9577854,0,0,0,0,-349,-349
0.9757986,0,0,0,0,-349,-349
0.9918118,0,0,0,0,-349,-349
1.0408482,0,0,0,0,-349,-349
1.0588583,0,0,0,0,-349,-349
1.0828754,0,0,0,0,-349,-349
1.1078992,16383,-3617,0,0,0,-427
1.1459321,16383,-3617,0,0,0,-427
1.1829474,16383,-3617,0,0,0,-427
1.2039639,16383,-3617,0,0,0,-427
1.2269778,16383,-3617,0,0,0,-427
1.2489966,16383,-3617,0,0,0,-427
1.2670054,16383,-3617,0,0,0,-427
1.4281215,16383,-3617,0,30,0,-427
1.4501461,16383,-3617,2,45,0,-427
1.4691495,16383,-3617,0,0,0,-427
1.4871628,16383,-3617,1,51,0,-427
1.507177,16383,-3617,0,0,0,-427
1.5231879,16383,-3617,0,0,0,-427
1.5522088,16383,-3617,0,0,0,-427
1.5902376,16383,-3617,0,0,0,-427
1.6092514,16383,-3617,1,56,0,-427
1.6272722,16383,-3617,0,0,0,-427
1.6472757,16383,-3617,0,0,0,-427
1.6642898,16383,-3617,0,0,0,-427
1.6813035,16383,-3617,0,0,0,-427
1.702315,16383,-3617,0,63,0,-427
1.7243307,16383,-3617,0,0,0,-427
1.7403421,16383,-3617,0,0,0,-427
1.7703657,16383,-3617,0,0,0,-427
1.8003986,16383,-3617,0,63,0,-427
1.8193989,16383,-3617,0,0,0,-427
1.8364104,16383,-3617,0,0,0,-427
1.8554237,16383,-3617,0,0,0,-427
1.8714373,16383,-3617,0,0,0,-427
1.8924694,16383,-3617,0,0,0,-427
1.9104911,16383,-3617,0,0,0,-427
1.928478,16383,-3617,0,0,0,-427
1.9514928,16383,-3617,0,0,0,-427
1.9705057,16383,-3617,0,0,0,-427
2.0235436,16383,-3617,0,65,0,-427
2.0445717,16383,-3617,0,65,0,-427
2.0665749,16383,-3617,0,0,0,-427
2.0845872,16383,-3617,0,0,0,-427
2.1276238,16383,-3617,-1,66,0,-427
2.1526512,16383,-3617,0,0,0,-427
2.1706479,16383,-3617,0,0,0,-427
2.2006706,16383,-3617,0,0,0,-427
2.2457011,16383,-3617,0,65,0,-427
2.2627152,16383,-3617,0,0,0,-427
2.280728,16383,-3617,0,0,0,-427
2.3037446,16383,-3617,0,66,0,-427
2.321785,16383,-3617,0,0,0,-427
2.3387978,16383,-3617,0,0,0,-427
2.3728238,16383,-3617,0,0,0,-427
2.3918335,16383,-3617,0,0,0,-427
2.4218571,16383,-3617,0,65,0,-427
2.4428811,16383,-3617,0,0,0,-427
2.459885,16383,-3617,0,0,0,-427
2.4768942,16383,-3617,0,0,0,-427
2.4949088,16383,-3617,0,0,0,-427
2.5139524,16383,-3617,0,0,0,-427
2.5319621,16383,-3617,0,0,0,-427
2.5779948,16383,-3617,0,68,0,-427
2.6350356,16383,-3617,0,68,0,-427
2.6570561,16383,-3617,0,0,0,-427
2.676065,16383,-3617,0,0,0,-427
2.7010977,16383,-3617,0,67,0,-427
2.7200963,16383,-3617,0,0,0,-427
2.7371081,16383,-3617,0,0,0,-427
2.7781371,16383,-3617,0,0,0,-427
2.81218,16383,-3617,-1,66,0,-427
2.8301848,16383,-3617,0,0,0,-427
2.8522214,16383,-3617,0,0,0,-427
2.8712333,16383,-3617,0,0,0,-427
2.888243,16383,-3617,0,0,0,-427
2.9252713,16383,-3617,1,69,0,-427
2.9432837,16383,-3617,0,0,0,-427
2.9723032,16383,-3617,0,0,0,-427
3.0243415,16383,-3617,0,64,0,-427
3.0413552,16383,-3617,0,0,0,-427
3.0593671,16383,-3617,0,0,0,-427
3.0783804,16383,-3617,0,0,0,-427
3.0964333,16383,-3617,0,0,0,-427
3.116456,16383,-3617,0,0,0,-427
3.1344487,16383,-3617,0,0,0,-427
3.1544639,16383,-3617,0,0,0,-427
3.1844839,16383,-3617,0,0,0,-427
3.2165057,16383,-3617,0,0,0,-427
3.2665409,16383,-3617,0,133,0,-427
3.2995646,16383,-3617,0,67,0,-427
3.3185801,16383,-3617,0,0,0,-427
3.3365911,16383,-3617,0,0,0,-427
3.3546035,16383,-3617,0,0,0,-427
3.4156685,16383,-3617,0,0,0,-427
3.4366645,16383,-3617,0,67,0,-427
3.4556916,16383,-3617,0,0,0,-427
3.4876983,16383,-3617,0,66,0,-427
3.5077147,16383,-3617,0,0,0,-427
3.523723,16383,-3617,0,0,0,-427
3.5437408,16383,-3617,0,0,0,-427
3.5987784,16383,-3617,0,0,0,-427
3.6227941,16383,-3617,-1,67,0,-427
3.6408105,16383,-3617,0,0,0,-427
3.6598211,16383,-3617,0,0,0,-427
3.6778361,16383,-3617,0,0,0,-427
3.701855,16383,-3617,0,67,0,-427
3.7208709,16383,-3617,0,0,0,-427
3.7398816,16383,-3617,0,0,0,-427
3.7959187,16383,-3617,0,0,0,-427
3.8289442,16383,-3617,0,64,0,-427
3.8489575,16383,-3617,0,0,0,-427
3.8679686,16383,-3617,0,0,0,-427
3.8929861,16383,-3617,0,65,0,-427
3.9140031,16383,-3617,0,0,0,-427
3.9320163,16383,-3617,0,0,0,-427
3.9520288,16383,-3617,0,0,0,-427
3.9710421,16383,-3617,0,0,0,-427
4.015089,16383,-3617,0,0,0,-427
4.0411133,16383,-3617,0,66,0,-427
4.0631093,16383,-3617,0,0,0,-427
4.0831222,16383,-3617,0,0,0,-427
4.1161445,16383,-3617,0,66,0,-427
4.1391611,16383,-3617,0,0,0,-427
4.1581749,16383,-3617,0,0,0,-427
4.2122137,16383,-3617,0,0,0,-427
4.2332316,16383,-3617,0,68,0,-427
4.2512439,16383,-3617,0,0,0,-427
4.2702545,16383,-3617,0,0,0,-427
4.2912715,16383,-3617,0,0,0,-427
4.3092838,16383,-3617,0,0,0,-427
4.3323013,16383,-3617,0,67,0,-427
4.3523138,16383,-3617,0,0,0,-427
4.400347,16383,-3617,0,0,0,-427
4.4373758,16383,-3617,0,67,0,-427
4.4573887,16383,-3617,0,0,0,-427
4.476402,16383,-3617,0,0,0,-427
4.4954179,16383,-3617,0,0,0,-427
4.5224338,16383,-3617,0,67,0,-427
4.5414471,16383,-3617,0,0,0,-427
4.5654642,16383,-3617,0,0,0,-427
4.6145019,16383,-3617,0,0,0,-427
4.6355345,16383,-3617,0,66,0,-427
4.6565398,16383,-3617,0,0,0,-427
4.6755428,16383,-3617,0,0,0,-427
4.7015622,16383,-3617,0,64,0,-427
4.7195782,16383,-3617,0,0,0,-427
4.7405889,16383,-3617,0,0,0,-427
4.7586034,16383,-3617,0,0,0,-427
4.8306529,16383,-3617,0,0,0,-427
4.8536699,16383,-3617,0,65,0,-427
4.8726841,16383,-3617,0,0,0,-427
4.8937202,16383,-3617,0,66,0,-427
4.9117121,16383,-3617,0,0,0,-427
4.9287221,16383,-3617,0,0,0,-427
4.94974,16383,-3617,0,0,0,-427
4.9737544,16383,-3617,0,0,0,-427
5.0157842,16383,-3617,0,67,0,-427
5.0348016,16383,-3617,0,0,0,-427
5.0548149,16383,-3617,0,0,0,-427
5.0738277,16383,-3617,0,0,0,-427
5.1108686,16383,-3617,0,68,0,-427
5.129868,16383,-3617,0,0,0,-427
5.1488831,16383,-3617,0,0,0,-427
5.1668937,16383,-3617,0,0,0,-427
5.2269341,16383,-3617,0,0,0,-427
5.2479493,16383,-3617,0,67,0,-427
5.266963,16383,-3617,0,0,0,-427
5.2879777,16383,-3617,0,0,0,-427
5.3069915,16383,-3617,0,0,0,-427
5.3370128,16383,-3617,0,66,0,-427
5.3560283,16383,-3617,0,0,0,-427
5.3740518,16383,-3617,0,0,0,-427
5.4321118,16383,-3617,0,65,0,-427
5.4520971,16383,-3617,0,0,0,-427
5.48812,16383,-3617,0,63,0,-427
5.5091485,16383,-3617,0,0,0,-427
5.5281507,16383,-3617,0,0,0,-427
5.5531673,16383,-3617,0,0,0,-427
5.5718468,16383,-3617,0,0,0,-427
5.6109899,16383,-3617,0,0,0,-427
5.6319997,16383,-3617,0,66,0,-427
5.6500121,16383,-3617,0,0,0,-427
5.6830362,16383,-3617,0,0,0,-427
5.7030505,16383,-3617,0,0,0,-427
5.7340897,16383,-3617,0,67,0,-427
5.7540923,16383,-3617,0,0,0,-427
5.7841074,16383,-3617,0,0,0,-427
5.816132,16383,-3617,0,67,0,-427
5.8391477,16383,-3617,0,0,0,-427
5.858173,16383,-3617,0,0,0,-427
5.8778525,16383,-3617,0,0,0,-427
5.8964829,16383,-3617,0,0,0,-427
5.9194714,16383,-3617,0,67,0,-427
5.9404875,16383,-3617,0,0,0,-427
5.9675069,16383,-3617,0,0,0,-427
6.0425623,16383,-3617,0,0,0,-427
6.0655762,16383,-3617,0,68,0,-427
6.0835894,16383,-3617,0,0,0,-427
6.1246192,16383,-3617,0,66,0,-427
6.1436321,16383,-3617,0,0,0,-427
6.1626445,16383,-3617,0,0,0,-427
6.2056766,16383,-3617,0,0,0,-427
6.2567207,16383,-3617,0,65,0,-427
6.2747264,16383,-3617,0,0,0,-427
6.2977448,16383,-3617,0,64,0,-427
6.317755,16383,-3617,0,0,0,-427
6.3377745,16383,-3617,0,0,0,-427
6.3547811,16383,-3617,0,0,0,-427
6.4088297,16383,-3617,0,64,0,-427
6.4288341,16383,-3617,0,0,0,-427
6.4498489,16383,-3617,0,0,0,-427
6.4728672,16383,-3617,0,0,0,-427
6.4918814,16383,-3617,0,0,0,-427
6.5098915,16383,-3617,0,0,0,-427
6.5289071,16383,-3617,0,0,0,-427
6.5539327,16383,-3617,0,0,0,-427
6.5849456,16383,-3617,0,0,0,-427
6.6069612,16383,-3617,0,0,0,-427
6.6289782,16383,-3617,0,0,0,-427
6.6519961,16383,-3617,0,67,0,-427
6.6730287,16383,-3617,0,68,0,-427
6.7000294,16383,-3617,0,67,0,-427
6.7210423,16383,-3617,0,0,0,-427
6.7420713,16383,-3617,0,0,0,-427
6.767075,16383,-3617,0,0,0,-427
6.7950949,16383,-3617,0,0,0,-427
6.8141189,16383,-3617,0,0,0,-427
6.8551581,16383,-3617,0,66,0,-427
6.8731526,16383,-3617,0,0,0,-427
6.8981702,16383,-3617,0,66,0,-427
6.9161803,16383,-3617,0,0,0,-427
6.9351963,16383,-3617,0,0,0,-427
6.95421,16383,-3617,0,0,0,-427
6.9792245,16383,-3617,0,0,0,-427
7.0132496,16383,-3617,0,65,0,-427
7.0322655,16383,-3617,0,0,0,-427
7.0502757,16383,-3617,0,0,0,-427
7.0702899,16383,-3617,0,0,0,-427
7.0873049,16383,-3617,0,0,0,-427
7.114323,16383,-3617,0,65,0,-427
7.132338,16383,-3617,0,0,0,-427
7.150349,16383,-3617,0,0,0,-427
7.1683623,16383,-3617,0,0,0,-427
7.208388,16383,-3617,-1,33,0,-427
7.2544364,16383,-3617,0,0,0,-427
7.2744368,16383,-3617,0,0,0,-427
7.298473,16383,-3617,-2,18,0,-427
7.3174671,16383,-3617,0,0,0,-427
7.3344777,16383,-3617,0,0,0,-427
7.3514895,16383,-3617,0,0,0,-427
7.3765084,16383,-3617,0,0,0,-427
7.4075294,16383,-3617,0,6,0,-427
7.4365641,16383,-3617,0,0,0,-427
7.4585873,16383,-3617,0,0,0,-427
7.4785819,16383,-3617,0,0,0,-427
7.5035985,16383,-3617,0,0,0,-427
7.5216131,16383,-3617,0,0,0,-427
7.5396259,16383,-3617,0,0,0,-427
7.5826715,16383,-3617,0,0,0,-427
7.5996677,16383,-3617,0,0,0,-427
7.6166783,16383,-3617,0,0,0,-427
7.6377028,16383,-3617,0,0,0,-427
7.6597126,16383,-3617,0,0,0,-427
7.6787219,16383,-3617,0,0,0,-427
7.6987366,16383,-3617,0,0,0,-427
7.7197517,16383,-3617,0,0,0,-427
7.74077,16383,-3617,0,0,0,-427
7.7607932,16383,-3617,0,0,0,-427
7.7918052,16383,-3617,0,0,0,-427
7.8148195,16383,-3617,0,0,0,-427
7.84384,16383,-3617,0,0,0,-427
7.8708594,16383,-3617,0,0,0,-427
7.8898905,16383,-3617,0,0,0,-427
7.9078873,16383,-3617,0,0,0,-427
7.9268988,16383,-3617,0,0,0,-427
7.9449196,16383,-3617,0,0,0,-427
7.9629244,16383,-3617,0,0,0,-427
8.0039551,16383,-3617,0,0,0,-427
8.023968,16383,-3617,0,0,0,-427
8.0509879,16383,-3617,0,0,0,-427
8.0760072,16383,-3617,0,0,0,-427
8.0960214,16383,-3617,0,0,0,-427
8.1180344,16383,-3617,0,0,0,-427
8.1380495,16383,-3617,0,0,0,-427
8.1560632,16383,-3617,0,0,0,-427
8.2231093,16383,-3617,0,0,0,-427
8.2461272,16383,-3617,0,0,0,-427
8.2641405,16383,-3617,0,0,0,-427
