time,motorSignalL,motorSignalR,diffEncoderPulseL,diffEncoderPulseR,desiredRotRateL,desiredRotRateL
0.0039836,0,0,0,0,-349,-349
0.0199945,0,0,0,0,-349,-349
0.047014,0,0,0,0,-349,-349
0.0630262,0,0,0,0,-349,-349
0.0780367,0,0,0,0,-349,-349
0.1000563,0,0,0,0,-349,-349
0.1170633,0,0,0,0,-349,-349
0.1330912,0,0,0,0,-349,-349
0.1531023,0,0,0,0,-349,-349
0.1670984,0,0,0,0,-349,-349
0.1841241,0,0,0,0,-349,-349
0.2011261,0,0,0,0,-349,-349
0.2241391,0,0,0,0,-349,-349
0.2421689,0,0,0,0,-349,-349
0.2581682,0,0,0,0,-349,-349
0.274193,0,0,0,0,-349,-349
0.2911861,0,0,0,0,-349,-349
0.320206,0,0,0,0,-349,-349
0.3373361,0,0,0,0,-349,-349
0.3553315,0,0,0,0,-349,-349
0.372409,0,0,0,0,-349,-349
0.3924,0,0,0,0,-349,-349
0.4104146,0,0,0,0,-349,-349
0.4294274,0,0,0,0,-349,-349
0.4714555,0,0,0,0,-349,-349
0.4884718,0,0,0,0,-349,-349
0.5104995,0,0,0,0,-349,-349
0.52751,0,0,0,0,-349,-349
0.5465139,0,0,0,0,-349,-349
0.566521,0,0,0,0,-349,-349
0.5835364,0,0,0,0,-349,-349
0.6015457,0,0,0,0,-349,-349
0.6405741,0,0,0,0,-349,-349
0.6555832,0,0,0,0,-349,-349
0.671595,0,0,0,0,-349,-349
0.6906118,0,0,0,0,-349,-349
0.7066201,0,0,0,0,-349,-349
0.7256334,0,0,0,0,-349,-349
0.7417416,0,0,0,0,-349,-349
0.757753,0,0,0,0,-349,-349
0.7747662,0,0,0,0,-349,-349
0.7918566,0,0,0,0,-349,-349
0.8639069,0,0,0,0,-349,-349
0.9139616,0,0,0,0,-349,-349
0.9379595,0,0,0,0,-349,-349
0.955991,0,0,0,0,-349,-349
0.9759851,0,0,0,0,-349,-349
0.9980008,0,0,0,0,-349,-349
1.0370292,0,0,0,0,-349,-349
1.0560411,0,0,0,0,-349,-349
1.0710716,0,0,0,0,-349,-349
1.0870656,0,0,0,0,-349,-349
1.1030747,0,0,0,0,-349,-349
1.1281815,0,0,0,0,-349,-349
1.1451934,0,0,0,0,-349,-349
1.1602016,0,0,0,0,-349,-349
1.1752125,0,0,0,0,-349,-349
1.1922275,0,0,0,0,-349,-349
1.2102474,0,0,0,0,-349,-349
1.2332546,0,0,0,0,-349,-349
1.2522697,0,0,0,0,-349,-349
1.2682784,0,0,0,0,-349,-349
1.2842915,0,0,0,0,-349,-349
1.2993002,0,0,0,0,-349,-349
1.3233199,0,0,0,0,-349,-349
1.3393309,0,0,0,0,-349,-349
1.3543395,0,0,0,0,-349,-349
1.3693517,0,0,0,0,-349,-349
1.3853627,0,0,0,0,-349,-349
1.4013763,0,0,0,0,-349,-349
1.4313958,0,0,0,0,-349,-349
1.4474059,0,0,0,0,-349,-349
1.4634168,0,0,0,0,-349,-349
1.4804309,0,0,0,0,-349,-349
1.4984423,0,0,0,0,-349,-349
1.5204602,0,0,0,0,-349,-349
1.5374698,0,0,0,0,-349,-349
1.5524803,0,0,0,0,-349,-349
1.5694984,0,0,0,0,-349,-349
1.5855044,0,0,0,0,-349,-349
1.6105215,0,0,0,0,-349,-349
1.6295352,0,0,0,0,-349,-349
1.6455466,0,0,0,0,-349,-349
1.661558,0,0,0,0,-349,-349
1.6775734,0,0,0,0,-349,-349
1.6935825,0,0,0,0,-349,-349
1.7085925,0,0,0,0,-349,-349
1.7256053,0,0,0,0,-349,-349
1.7406144,0,0,0,0,-349,-349
1.7586339,0,0,0,0,-349,-349
1.7746381,0,0,0,0,-349,-349
1.7906495,0,0,0,0,-349,-349
1.8066613,0,0,0,0,-349,-349
1.8296774,0,0,0,0,-349,-349
1.8466924,0,0,0,0,-349,-349
1.8627002,0,0,0,0,-349,-349
1.8787142,0,0,0,0,-349,-349
1.893722,0,0,0,0,-349,-349
1.9107343,0,0,0,0,-349,-349
1.9267466,0,0,0,0,-349,-349
1.9457603,0,0,0,0,-349,-349
1.9617708,0,0,0,0,-349,-349
1.9767817,0,0,0,0,-349,-349
1.9927931,0,0,0,0,-349,-349
2.0088044,0,0,0,0,-349,-349
2.0358234,0,0,0,0,-349,-349
2.0578395,0,0,0,0,-349,-349
2.0848611,0,0,0,0,-349,-349
2.1018708,16383,3383,0,0,0,-277
2.1178821,16383,3383,0,0,0,-277
2.1368954,16383,3383,0,0,0,-277
2.15491,16383,3383,0,0,0,-277
2.1729228,16383,3383,0,0,0,-277
2.1909334,16383,3383,0,0,0,-277
2.2089466,16383,3383,0,0,0,-277
2.2249593,16383,3383,0,0,0,-277
2.2619845,16383,3383,0,4,0,-277
2.2809978,16383,3383,0,0,0,-277
2.3000115,16383,3383,0,0,0,-277
2.3170234,16383,3383,0,0,0,-277
2.3460442,16383,3383,3,26,0,-277
2.3650602,16383,3383,0,0,0,-277
